 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 LaLiga Santander, RC Celta, Iago Aspas, Spain
 Calcio A, Atalanta, Alejandro Gómez, Argentina
 Ligue 1, AS Monaco Football Club SA, Bernardo Silva, Portugal
 Liga NOS, Sporting CP, Bas Dost, Holland
 Bundesliga, RB Leipzig, Naby Keïta, Guinea
 Premier League, Tottenham Hotspur, Jan Vertonghen, Belgium
 LaLiga Santander, Real Madrid, Gareth Bale, Wales
 Premier League, Arsenal, Mesut Özil, Germany
 Premier League, Tottenham Hotspur, Toby Alderweireld, Belgium
 LaLiga Santander, Atlético Madrid, Fernando Torres, Spain
 Premier League, Chelsea, Azpilicueta, Spain
 Ligue 1, AS Monaco Football Club SA, Danijel Subašić, Croatia
 Sogaz Russian Football Championship, Spartak Moscow, Quincy Promes, Holland
 Ligue 1, Paris Saint-Germain, Ángel Di María, Argentina
 Ligue 1, AS Monaco Football Club SA, Kamil Glik, Poland
 LIGA Bancomer MX, Tigres U.A.N.L., André-Pierre Gignac, France
 Ligue 1, AS Saint-Étienne, Loïc Perrin, France
 Bundesliga, Borussia Dortmund, Łukasz Piszczek, Poland
 Sogaz Russian Football Championship, Zenit St. Petersburg, Giuliano, Brazil
 Bundesliga, Borussia Mönchengladbach, Lars Stindl, Germany
 LaLiga Santander, Sevilla FC, Steven N'Zonzi, France
 Premier League, Tottenham Hotspur, Dele Alli, England
 Ligue 1, AS Monaco Football Club SA, Thomas Lemar, France
 Bundesliga, Borussia Dortmund, Ousmane Dembélé, France
 Bundesliga, 1. FC Köln, Anthony Modeste, France
 Premier League, Liverpool, Sadio Mané, Senegal
 Bundesliga, FC Bayern München, Jérôme Boateng, Germany
 Süper Lig, Beşiktaş JK, Quaresma, Portugal
 Ligue 1, FC Girondins de Bordeaux, Cédric Carrasso, France
 Eredivisie, PSV, Andrés Guardado, Mexico
 Bundesliga, Borussia Dortmund, Marco Reus, Germany
 LaLiga Santander, FC Barcelona, Marc-André ter Stegen, Germany
 LaLiga Santander, Real Madrid, Carvajal, Spain
 Süper Lig, Antalyaspor, Samuel Eto'o, Cameroon
 Sogaz Russian Football Championship, Lokomotiv Moscow, Manuel Fernandes, Portugal
 Premier League, Liverpool, Adam Lallana, England
 Bundesliga, FC Bayern München, Arturo Vidal, Chile
 Premier League, Manchester United, Ander Herrera, Spain
 Primera División, Racing Club, Marcos Acuña, Argentina
 Süper Lig, Fenerbahçe SK, Martin Škrtel, Slovakia
 Calcio A, Juventus, Leonardo Bonucci, Italy
 Ligue 1, Paris Saint-Germain, Marquinhos, Brazil
 Ligue 1, OGC Nice, Ricardo Pereira, Portugal
 Belgium Pro League, RSC Anderlecht, Leander Dendoncker, Belgium
 Calcio A, Lazio, Keita Baldé Diao, Senegal
 Ligue 1, Olympique Lyonnais, Corentin Tolisso, France
 Calcio A, Milan, Gianluigi Donnarumma, Italy
 Süper Lig, Galatasaray SK, Wesley Sneijder, Holland
 Ligue 1, Montpellier Hérault SC, Ryad Boudebouz, Algeria
 Premier League, Chelsea, Marcos Alonso, Spain
 Eredivisie, Feyenoord, Jens Toornstra, Holland
 Eredivisie, Feyenoord, Nicolai Jørgensen, Denmark
 Calcio A, Torino, Andrea Belotti, Italy
 Dawry Jameel, Al Ahli, Omar Al Soma, Syria
 Eredivisie, Ajax, Hakim Ziyech, Morocco
 Bundesliga, RB Leipzig, Emil Forsberg, Sweden
 Calcio A, Roma, Mohamed Salah, Egypt
 Premier League, Tottenham Hotspur, Heung Min Son, Korea Republic
 Premier League, Chelsea, Thibaut Courtois, Belgium
 Calcio A, Juventus, Sami Khedira, Germany
 Major League Soccer, New York City Football Club, David Villa, Spain
 Liga NOS, SL Benfica, Konstantinos Mitroglou, Greece
 LaLiga Santander, Villarreal CF, Bruno, Spain
 LaLiga Santander, UD Las Palmas, Jonathan Viera, Spain
 Liga NOS, FC Porto, Danilo Pereira, Portugal
 LaLiga Santander, Villarreal CF, Manu Trigueros, Spain
 Ukrayina Liha, Shakhtar Donetsk, Darijo Srna, Croatia
 Eredivisie, PSV, Héctor Moreno, Mexico
 Premier League, Swansea City, Gylfi Sigurðsson, Iceland
 Sogaz Russian Football Championship, FC Krasnodar, Fedor Smolov, Russia
 Ukrayina Liha, Shakhtar Donetsk, Taison, Brazil
 Eredivisie, Ajax, Davy Klaassen, Holland
 Ligue 1, AS Monaco Football Club SA, Fabinho, Brazil
 Liga NOS, SL Benfica, Ederson, Brazil
 Bundesliga, TSG 1899 Hoffenheim, Niklas Süle, Germany
 Süper Lig, Beşiktaş JK, Anderson Talisca, Brazil
 Sogaz Russian Football Championship, FC Ufa, Alexandr Belenov, Russia
 Premier League, Chelsea, Cesc Fàbregas, Spain
 Premier League, Manchester United, Antonio Valencia, Ecuador
 Campeonato Scotiabank, Universidad Católica, Diego Buonanotte, Argentina
 Hellas Liga, Panathinaikos FC, Marcus Berg, Sweden
 Calcio A, Napoli, José Callejón, Spain
 Liga NOS, SL Benfica, Pizzi, Portugal
 Dawry Jameel, Al Ittihad, Mahmoud Kahraba, Egypt
 Scottish Premiership, Celtic, Scott Sinclair, England
 Sogaz Russian Football Championship, Zenit St. Petersburg, Artem Dzyuba, Russia
 Premier League, Tottenham Hotspur, Kyle Walker, England
 Belgium Pro League, KRC Genk, Pozuelo, Spain
 Premier League, Liverpool, Coutinho, Brazil
 Premier League, Manchester United, Henrikh Mkhitaryan, Armenia
 Premier League, Burnley, Michael Keane, England
 Bundesliga, RB Leipzig, Timo Werner, Germany
 Liga NOS, SL Benfica, Nélson Semedo, Portugal
 Ligue 1, AS Monaco Football Club SA, Kylian Mbappe Lottin, France
 Premier League, Leicester City, Kasper Schmeichel, Denmark
 Premier League, Arsenal, Petr Čech, Czech Republic
 LaLiga Santander, Real Madrid, Pepe, Portugal
 Liga NOS, FC Porto, Casillas, Spain
 Calcio A, Lazio, Lucas Biglia, Argentina
 Calcio A, Inter, Samir Handanovič, Slovenia
 LaLiga Santander, Real Madrid, Karim Benzema, France
 LaLiga Santander, SD Eibar, Pedro León, Spain
 Sogaz Russian Football Championship, Rubin Kazan, Jonathas, Brazil
 Bundesliga, FC Bayern München, Thomas Müller, Germany
 Sogaz Russian Football Championship, CSKA Moscow, Mário Fernandes, Brazil
 Bundesliga, TSG 1899 Hoffenheim, Oliver Baumann, Germany
 Calcio A, Lazio, Stefan de Vrij, Holland
 Primera División, Independiente, Nicolás Tagliafico, Argentina
 Sogaz Russian Football Championship, FC Rostov, César Navas, Spain
 Allsvenskan, IFK Norrköping, Andreas Johansson, Sweden
 Süper Lig, Alanyaspor, Vágner Love, Brazil
 Raiffeisen Super League, BSC Young Boys, Guillaume Hoarau, France
 LaLiga Santander, UD Las Palmas, Kevin-Prince Boateng, Ghana
 Calcio A, Roma, Federico Fazio, Argentina
 Liga NOS, SL Benfica, Ljubomir Fejsa, Serbia
 Calcio A, Roma, Stephan El Shaarawy, Italy
 LaLiga Santander, Real Madrid, James Rodríguez, Colombia
 Liga NOS, FC Porto, Felipe, Brazil
 Primera División, Boca Juniors, Darío Benedetto, Argentina
 Sogaz Russian Football Championship, Zenit St. Petersburg, Domenico Criscito, Italy
 Liga NOS, FC Porto, Marcano, Spain
 LIGA Bancomer MX, Tigres U.A.N.L., Nahuel Guzmán, Argentina
 Bundesliga, SV Werder Bremen, Max Kruse, Germany
 Bundesliga, Hertha Berlin, Marvin Plattenhardt, Germany
 Bundesliga, Bayer 04 Leverkusen, Bernd Leno, Germany
 Campeonato Scotiabank, Colo-Colo, Esteban Paredes, Chile
 Sogaz Russian Football Championship, Spartak Moscow, Zé Luís, Cape Verde Islands
 Eredivisie, Feyenoord, Eric Botteghin, Brazil
 Liga NOS, Boavista FC, Iuri Medeiros, Portugal
 Liga NOS, FC Porto, Alex Telles, Brazil
 Belgium Pro League, RSC Anderlecht, Youri Tielemans, Belgium
 LIGA Bancomer MX, Pachuca, Hirving Lozano, Mexico
 Ligue 1, Olympique de Marseille, Bafétimbi Gomis, France
 Ligue 1, Paris Saint-Germain, Blaise Matuidi, France
 Bundesliga, Eintracht Frankfurt, Marco Fabián, Mexico
 LaLiga Santander, Real Madrid, Nacho Fernández, Spain
 Belgium Pro League, RSC Anderlecht, Łukasz Teodorczyk, Poland
 Bundesliga, FC Schalke 04, Sead Kolašinac, Bosnia and Herzegovina
 LIGA Bancomer MX, U.N.A.M., Nicolás Castillo, Chile
 Ligue 1, OGC Nice, Jean Michaël Seri, Côte d'Ivoire
 Liga NOS, CS Marítimo, Raúl, Brazil
 Meiji Yasuda J1 League, Urawa Red Diamonds, Shinzo Koroki, Japan
 Bundesliga, Borussia Dortmund, Christian Pulisic, United States
 Bundesliga, Borussia Dortmund, Sokratis, Greece
 Calcio A, Inter, Ivan Perišić, Croatia
 Premier League, Crystal Palace, Christian Benteke, Belgium
 Premier League, Manchester City, David Silva, Spain
 LaLiga Santander, FC Barcelona, Ivan Rakitić, Croatia
 LaLiga Santander, FC Barcelona, Sergio Busquets, Spain
 Bundesliga, FC Bayern München, David Alaba, Austria
 Sogaz Russian Football Championship, CSKA Moscow, Sergey Ignashevich, Russia
 Süper Lig, Beşiktaş JK, Atiba Hutchinson, Canada
 Calcio A, Juventus, Andrea Barzagli, Italy
 Calcio B, Hellas Verona, Giampaolo Pazzini, Italy
 LaLiga Santander, Valencia CF, Nani, Portugal
 Premier League, Manchester City, Vincent Kompany, Belgium
 Liga NOS, SL Benfica, Luisão, Brazil
 Belgium Pro League, KAA Gent, Nana Asare, Ghana
 LIGA Bancomer MX, Club América, Oribe Peralta, Mexico
 Sogaz Russian Football Championship, Terek Grozny, Oleg Ivanov, Russia
 LIGA Bancomer MX, Tigres U.A.N.L., Ismael Sosa, Argentina
 Calcio A, Inter, Miranda, Brazil
 Eredivisie, Feyenoord, Eljero Elia, Holland
 Primera División, Estudiantes de La Plata, Mariano Andújar, Argentina
 Ligue 1, West Ham United, Dimitri Payet, France
 Belgium Pro League, Club Brugge KV, Ruud Vormer, Holland
 Süper Lig, Fenerbahçe SK, Jeremain Lens, Holland
 K LEAGUE Classic, FC Seoul, Dejan Damjanović, Montenegro
 Ekstraklasa, Legia Warszawa, Michał Pazdan, Poland
 EFL Championship, Newcastle United, Matt Ritchie, Scotland
 Sogaz Russian Football Championship, Spartak Moscow, Denis Glushakov, Russia
 Sogaz Russian Football Championship, FC Rostov, Christian Noboa, Ecuador
 Süper Lig, Medipol Başakşehir FK, Volkan Babacan, Turkey
 Süper Lig, Akhisar Belediyespor, Miguel Lopes, Portugal
 Primera División, Racing Club, Gustavo Bou, Argentina
 Bundesliga, TSG 1899 Hoffenheim, Sebastian Rudy, Germany
 LaLiga Santander, FC Barcelona, Jordi Alba, Spain
 EFL Championship, Leeds United, Pontus Jansson, Sweden
 Liga NOS, Sporting CP, Sebastián Coates, Uruguay
 Liga NOS, SC Braga, Marafona, Portugal
 Sogaz Russian Football Championship, Spartak Moscow, Fernando, Brazil
 Süper Lig, Trabzonspor, Okay Yokuşlu, Turkey
 Süper Lig, Medipol Başakşehir FK, Edin Višća, Bosnia and Herzegovina
 LIGA Bancomer MX, Tigres U.A.N.L., Guido Pizarro, Argentina
 Eredivisie, Ajax, Joël Veltman, Holland
 Bundesliga, Sport-Club Freiburg, Vincenzo Grifo, Italy
 LIGA Bancomer MX, Club Tijuana, Avilés Hurtado, Colombia
 Primera División, Boca Juniors, Frank Fabra, Colombia
 Liga Dimayor, Atlético Nacional, Franco Armani, Argentina
 Primera División, Boca Juniors, Pablo Pérez, Argentina
 LIGA Bancomer MX, Club Necaxa, Édson Puch, Chile
 Primera División, Boca Juniors, Gino Peruzzi, Argentina
 Dawry Jameel, Al Hilal, Léo Bonatini, Brazil
 Primera División, Independiente, Martín Campaña, Uruguay
 Primera División, San Lorenzo de Almagro, Fernando Belluschi, Argentina
 Eredivisie, Feyenoord, Karim El Ahmadi, Morocco
 Sogaz Russian Football Championship, Lokomotiv Moscow, Ari, Brazil
 Süper Lig, Trabzonspor, Jan Ďurica, Slovakia
 Ekstraklasa, Legia Warszawa, Vadis Odjidja-Ofoe, Belgium
 Bundesliga, FC Schalke 04, Ralf Fährmann, Germany
 Bundesliga, FC Schalke 04, Benedikt Höwedes, Germany
 Ekstraklasa, Jagiellonia Białystok, Konstantin Vassiljev, Estonia
 Alka Superliga, FC København, Mathias Jørgensen, Denmark
 Süper Lig, Antalyaspor, Diego Ângelo, Brazil
 Raiffeisen Super League, BSC Young Boys, Yoric Ravet, France
 Premier League, Leicester City, Riyad Mahrez, Algeria
 Bundesliga, RB Leipzig, Willi Orban, Germany
 LaLiga 1 I 2 I 3, Levante UD, Roger, Spain
 Liga NOS, SC Braga, Pedro Santos, Portugal
 Süper Lig, Galatasaray SK, Bruma, Portugal
 Ligue 1, AS Monaco Football Club SA, Tiémoué Bakayoko, France
 Primera División, River Plate, Sebastián Driussi, Argentina
 Liga NOS, SL Benfica, Victor Nilsson Lindelöf, Sweden
 Eredivisie, Feyenoord, Rick Karsdorp, Holland
 Calcio A, Sampdoria, Lucas Torreira, Uruguay
 Primera División, Boca Juniors, Cristian Pavón, Argentina
 Liga NOS, Sporting CP, Gelson Martins, Portugal
 Liga NOS, Vitória Guimarães, Moussa Marega, Mali
 Premier League, Manchester City, Yaya Touré, Côte d'Ivoire
 LaLiga Santander, Athletic Club, Aduriz, Spain
 Hellas Liga, PAOK, Léo Matos, Brazil
 Sogaz Russian Football Championship, FC Rostov, Timofey Kalachev, Belarus
 Tippeligaen, Rosenborg BK, Mike Jensen, Denmark
 Belgium Pro League, Club Brugge KV, Jelle Vossen, Belgium
 LIGA Bancomer MX, Guadalajara, Rodolfo Cota, Mexico
 Dawry Jameel, Al Hilal, Carlos Eduardo, Brazil
 Süper Lig, Beşiktaş JK, Cenk Tosun, Turkey
 Hyundai A-League, Sydney FC, Miloš Ninković, Serbia
 LIGA Bancomer MX, Monarcas Morelia, Raúl Ruidíaz, Peru
 Bundesliga, Borussia Dortmund, Raphaël Guerreiro, Portugal
 Alka Superliga, FC København, Ludwig Augustinsson, Sweden
 LIGA Bancomer MX, Santos Laguna, Carlos Izquierdoz, Argentina
 Belgium Pro League, Club Brugge KV, José Izquierdo, Colombia
 Bundesliga, Borussia Mönchengladbach, Yann Sommer, Switzerland
 Premier League, Chelsea, Willian, Brazil
 Premier League, Manchester City, İlkay Gündoğan, Germany
 Eredivisie, AZ, Ridgeciano Haps, Holland
 Ligue 1, Olympique de Marseille, Morgan Sanson, France
 Ligue 1, OGC Nice, Wylan Cyprien, France
 Calcio A, Atalanta, Mattia Caldara, Italy
 Liga NOS, FC Porto, André Silva, Portugal
 Premier League, Stoke City, Marko Arnautović, Austria
 Liga NOS, FC Porto, Tiquinho Soares, Brazil
 LaLiga Santander, Atlético Madrid, Kévin Gameiro, France
 Bundesliga, Bayer 04 Leverkusen, Javier Hernández, Mexico
 Ligue 1, OGC Nice, Mario Balotelli, Italy
 Premier League, Arsenal, Santi Cazorla, Spain
 Bundesliga, FC Bayern München, Franck Ribéry, France
 Calcio A, Juventus, Claudio Marchisio, Italy
 Süper Lig, Medipol Başakşehir FK, Emre Belözoğlu, Turkey
 Major League Soccer, LA Galaxy, Ashley Cole, England
 Premier League, Manchester United, Wayne Rooney, England
 Calcio A, Torino, Joe Hart, England
 Ligue 1, AS Saint-Étienne, Stéphane Ruffier, France
 LaLiga Santander, Valencia CF, Ezequiel Garay, Argentina
 Premier League, Liverpool, Daniel Sturridge, England
 Premier League, Manchester City, Claudio Bravo, Chile
 Süper Lig, Medipol Başakşehir FK, Mossoró, Brazil
 Süper Lig, Beşiktaş JK, Fabricio, Spain
 Premier League, Manchester United, Juan Mata, Spain
 Calcio A, Inter, Éver Banega, Argentina
 LaLiga Santander, Villarreal CF, Sergio Asenjo, Spain
 Calcio A, Juventus, Miralem Pjanić, Bosnia and Herzegovina
 Major League Soccer, Toronto FC, Sebastian Giovinco, Italy
 Bundesliga, Bayer 04 Leverkusen, Ömer Toprak, Turkey
 Premier League, Arsenal, Aaron Ramsey, Wales
 Belgium Pro League, RSC Anderlecht, Sofiane Hanni, Algeria
 Calcio A, Roma, Kostas Manolas, Greece
 LaLiga Santander, Real Madrid, Keylor Navas, Costa Rica
 Belgium Pro League, Standard de Liège, Ishak Belfodil, Algeria
 Belgium Pro League, RSC Anderlecht, Kara Mbodj, Senegal
 Belgium Pro League, KAA Gent, Renato Neto, Brazil
 LaLiga Santander, Real Madrid, Raphaël Varane, France
 Eredivisie, Feyenoord, Tonny Vilhena, Holland
 EFL Championship, Brighton & Hove Albion, Anthony Knockaert, France
 Ligue 1, AS Monaco Football Club SA, Benjamin Mendy, France
 Liga NOS, Sporting CP, William Carvalho, Portugal
 Sogaz Russian Football Championship, FC Krasnodar, Yuriy Gazinskiy, Russia
 Premier League, Liverpool, James Milner, England
 Eredivisie, Ajax, Lasse Schøne, Denmark
 Bundesliga, FC Bayern München, Javi Martinez, Spain
 Ligue 1, Paris Saint-Germain, Javier Pastore, Argentina
 Ligue 1, Paris Saint-Germain, Julian Draxler, Germany
 Eredivisie, SC Heerenveen, Sam Larsson, Sweden
 Belgium Pro League, KRC Genk, Omar Colley, Gambia
 Calcio A, Sassuolo, Andrea Consigli, Italy
 Premier League, Arsenal, Theo Walcott, England
 LaLiga Santander, Valencia CF, Diego Alves, Brazil
 Dawry Jameel, Al Raed, Ismaël Bangoura, Guinea
 Premier League, Arsenal, Olivier Giroud, France
 Premier League, Everton, Séamus Coleman, Republic of Ireland
 Premier League, Chelsea, Pedro, Spain
 LaLiga Santander, Sevilla FC, Iborra, Spain
 Bundesliga, Eintracht Frankfurt, Lukáš Hrádecký, Finland
 Premier League, Stoke City, Xherdan Shaqiri, Switzerland
 Süper Lig, Beşiktaş JK, Vincent Aboubakar, Cameroon
 Ligue 1, Olympique Lyonnais, Nabil Fekir, France
 Eredivisie, Ajax, Davinson Sánchez, Colombia
 Süper Lig, Galatasaray SK, Lukas Podolski, Germany
 Ligue 1, OGC Nice, Dante, Brazil
 Calcio A, Juventus, Juan Cuadrado, Colombia
 Premier League, Liverpool, Roberto Firmino, Brazil
 Ligue 1, Olympique Lyonnais, Memphis Depay, Holland
 Premier League, Liverpool, Emre Can, Germany
 Premier League, Manchester United, Anthony Martial, France
 Ligue 1, Dijon FCO, Loïs Diony, France
 Eredivisie, Ajax, Kasper Dolberg, Denmark
 LaLiga Santander, Sevilla FC, Stevan Jovetić, Montenegro
 EFL Championship, Newcastle United, Dwight Gayle, England
 LaLiga Santander, FC Barcelona, Javier Mascherano, Argentina
 Premier League, Crystal Palace, Steve Mandanda, France
 Premier League, Arsenal, Laurent Koscielny, France
 LaLiga Santander, Atlético Madrid, Nicolás Gaitán, Argentina
 Premier League, Manchester City, Nicolás Otamendi, Argentina
 Calcio A, Roma, Daniele De Rossi, Italy
 Premier League, Manchester United, Bastian Schweinsteiger, Germany
 Ligue 1, LOSC Lille, Vincent Enyeama, Nigeria
 Alka Superliga, Boca Juniors, Carlos Tévez, Argentina
 LaLiga Santander, Atlético Madrid, Juanfran, Spain
 Ligue 1, AS Monaco Football Club SA, João Moutinho, Portugal
 Premier League, Everton, Leighton Baines, England
 Premier League, Chelsea, Gary Cahill, England
 Calcio A, Inter, Antonio Candreva, Italy
 Calcio A, Juventus, Medhi Benatia, Morocco
 Calcio A, Juventus, Mario Mandžukić, Croatia
 Ligue 1, Paris Saint-Germain, Kevin Trapp, Germany
 Calcio A, Milan, Giacomo Bonaventura, Italy
 EFL Championship, Newcastle United, Jonjo Shelvey, England
 Bundesliga, FC Bayern München, Douglas Costa, Brazil
 Premier League, Arsenal, Shkodran Mustafi, Germany
 EFL Championship, Huddersfield Town, Aaron Mooy, Australia
 Ligue 1, Olympique Lyonnais, Anthony Lopes, Portugal
 Bundesliga, FC Schalke 04, Yevgen Konoplyanka, Ukraine
 Calcio A, Inter, João Mário, Portugal
 LaLiga Santander, Atlético Madrid, José María Giménez, Uruguay
 Premier League, Arsenal, Per Mertesacker, Germany
 LaLiga Santander, RC Celta, Gustavo Cabral, Argentina
 LaLiga Santander, CA Osasuna, Salvatore Sirigu, Italy
 LaLiga Santander, RC Celta, Hugo Mallo, Spain
 EFL Championship, Fulham, Tom Cairney, Scotland
 LaLiga Santander, Sevilla FC, Vitolo, Spain
 EFL Championship, Brighton & Hove Albion, Lewis Dunk, England
 LaLiga Santander, FC Barcelona, André Gomes, Portugal
 Ukrayina Liha, Shakhtar Donetsk, Andriy Pyatov, Ukraine
 Ligue 1, Paris Saint-Germain, Hatem Ben Arfa, France
 Süper Lig, Fenerbahçe SK, Moussa Sow, Senegal
 Premier League, Manchester United, Marouane Fellaini, Belgium
 Calcio A, Fiorentina, Nikola Kalinić, Croatia
 Ligue 1, AS Monaco Football Club SA, Valère Germain, France
 Bundesliga, FC Bayern München, Joshua Kimmich, Germany
 Calcio A, Inter, Marcelo Brozović, Croatia
 Bundesliga, Hertha Berlin, Rune Almenning Jarstein, Norway
 LaLiga Santander, FC Barcelona, Sergi Roberto, Spain
 Alka Superliga, Bayer 04 Leverkusen, Hakan Çalhanoğlu, Turkey
 Liga Dimayor, Independiente Medellín, Juan Fernando Quintero, Colombia
 LaLiga Santander, Real Sociedad, Gerónimo Rulli, Argentina
 Belgium Pro League, KAA Gent, Yuya Kubo, Japan
 Premier League, Chelsea, John Terry, England
 Calcio A, Napoli, José Reina, Spain
 Bundesliga, FC Bayern München, Xabi Alonso, Spain
 LaLiga Santander, FC Barcelona, Arda Turan, Turkey
 Bundesliga, FC Schalke 04, Naldo, Brazil
 Liga NOS, Sporting CP, Rui Patrício, Portugal
 Premier League, Manchester United, Chris Smalling, England
 Premier League, Chelsea, Nemanja Matić, Serbia
 Bundesliga, Borussia Dortmund, Mario Götze, Germany
 LaLiga Santander, Atlético Madrid, Koke, Spain
 Ligue 1, Paris Saint-Germain, Grzegorz Krychowiak, Poland
 Premier League, Arsenal, Granit Xhaka, Switzerland
 Calcio A, Milan, Carlos Bacca, Colombia
 LaLiga Santander, Athletic Club, Aymeric Laporte, France
 Süper Lig, Fenerbahçe SK, Robin van Persie, Holland
 Major League Soccer, Colorado Rapids, Tim Howard, United States
 Premier League, Sunderland, Jermain Defoe, England
 Premier League, Everton, Phil Jagielka, England
 Premier League, Middlesbrough, Victor Valdés, Spain
 Premier League, Manchester City, Fernandinho, Brazil
 LaLiga Santander, RCD Espanyol, Diego López, Spain
 Bundesliga, VfL Wolfsburg, Mario Gómez, Germany
 Alka Superliga, F.C. Tokyo, Peter Utaka, Nigeria
 Ligue 1, Stade Rennais FC, Benoît Costil, France
 Bundesliga, Hertha Berlin, Salomon Kalou, Côte d'Ivoire
 Premier League, Tottenham Hotspur, Moussa Dembélé, Belgium
 Bundesliga, Borussia Dortmund, Gonzalo Castro, Germany
 Calcio A, Milan, Ignazio Abate, Italy
 Premier League, Stoke City, Ryan Shawcross, England
 Premier League, West Ham United, Winston Reid, New Zealand
 Süper Lig, Kayserispor, Welliton, Brazil
 Liga NOS, Sporting CP, Bryan Ruíz, Costa Rica
 Premier League, Liverpool, Georginio Wijnaldum, Holland
 Calcio A, Udinese, Orestis Karnezis, Greece
 Calcio A, Lazio, Marco Parolo, Italy
 Bundesliga, VfL Wolfsburg, Luiz Gustavo, Brazil
 Calcio A, Roma, Wojciech Szczęsny, Poland
 LaLiga Santander, Sevilla FC, Ganso, Brazil
 Sogaz Russian Football Championship, CSKA Moscow, Alan Dzagoev, Russia
 Raiffeisen Super League, FC Basel, Seydou Doumbia, Côte d'Ivoire
 Ligue 1, Olympique Lyonnais, Nicolas Nkoulou, Cameroon
 Bundesliga, Borussia Dortmund, Roman Bürki, Switzerland
 Eredivisie, PSV, Luuk de Jong, Holland
 LaLiga Santander, Athletic Club, De Marcos, Spain
 LaLiga Santander, RC Celta, Fabián Orellana, Chile
 Ligue 1, Olympique Lyonnais, Maxime Gonalons, France
 Bundesliga, Borussia Dortmund, André Schürrle, Germany
 Bundesliga, VfL Wolfsburg, Ricardo Rodríguez, Switzerland
 Süper Lig, Beşiktaş JK, Oğuzhan Özyakup, Turkey
 LaLiga Santander, Sevilla FC, Wissam Ben Yedder, France
 Süper Lig, Fenerbahçe SK, Emmanuel Emenike, Nigeria
 Ligue 1, Paris Saint-Germain, Lucas, Brazil
 LaLiga Santander, Real Madrid, Morata, Spain
 Ligue 1, Paris Saint-Germain, Layvin Kurzawa, France
